,id,dude_id
0,1bcd,cah2
1,1kvo,pa2ga
2,1b9v,nram
3,830c,mmp13
4,1c8k,pygm
5,1e66,aces
6,1l2s,ampc
7,1h00,cdk2
8,1njs,pur2
9,1sj0,esr1
10,1uyg,hs90a
11,1q4x,thb
12,1udt,pde5a
13,1sqt,urok
14,1w7x,fa7
15,2etr,rock1
16,2azr,ptn1
17,2gtk,pparg
18,2ica,ital
19,2am9,andr
20,2e1w,ada
21,2i0e,kpcb
22,1ype,thrb
23,2of2,lck
24,2oj9,igf1r
25,2owb,plk1
26,2qd9,mk14
27,2p2i,vgfr2
28,3biz,wee1
29,2hzi,abl1
30,1vso,grik1
31,2ojg,mk01
32,2oi0,ada17
33,2nnq,fabp4
34,3d4q,braf
35,2rgp,egfr
36,3bz3,fak1
37,3c4f,fgfr1
38,3cjo,kif11
39,3f07,hdac8
40,3el8,src
41,3cqw,akt1
42,3chp,lkha4
43,2zdt,mk10
44,3eml,aa2ar
45,3ccw,hmdh
46,3bkl,ace
47,3bgs,pnph
48,3d0e,akt2
49,3hmm,tgfr1
50,3g6z,reni
51,3kba,prgr
52,3kl6,fa10
53,3e37,fnta
54,3g0e,kit
55,3hl5,xiap
56,3m2w,mapk2
57,3lq8,met
58,3max,hdac2
59,3krj,csf1r
60,3lpb,jak2
61,3l5d,bace1
62,3l3m,parp1
63,3odu,cxcr4
64,3nf7,hivint
